Comando enviado,Leitura do sensor do lado esquerdo do robô após execução do comando,Leitura do sensor da frente do robô após execução do comando,Leitura do sensor do lado direito do robô após execução do comando,Situação do compartimento de carga
LIGAR,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
